id,title,description,topics,location,venue,start_time,end_time,speakers,capacity,track,lat,lon,address,website
WEF2026-001,"AI House Davos 2026: A Human Intelligence Shift","AI House Davos brings together global leaders to explore the intersection of artificial intelligence and human potential. Three floors of immersive experiences and discussions.","Artificial Intelligence;Human Intelligence;AI Ethics;Innovation;Technology","Promenade 67","AI House Davos","2026-01-19 09:00","2026-01-23 18:00","",500,"Technology & AI",46.80156,9.83589,"Promenade 67, Davos, 7270, Switzerland","https://www.aihousedavos.com/2026"
WEF2026-002,"Imagination in Action: The Inflection of Intelligence","The Inflection of Intelligence: Our World Reimagined. Exploring how AI is transforming every aspect of our lives and society at the iconic Dome.","Artificial Intelligence;Imagination;Innovation;Future of Society;Digital Transformation","Promenade 80","The Iconic Dome (Panorama Hotel)","2026-01-20 09:00","2026-01-22 18:00","",400,"Technology & AI",46.80312,9.83642,"Promenade 80, Davos Platz, 7270, Switzerland","https://www.imaginationinaction.co/davos-jan-2026"
WEF2026-003,"Web3 Hub Davos 2026","The premier gathering for blockchain, crypto, and decentralized technology leaders. Five-minute walk from Davos Platz train station.","Blockchain;Web3;Cryptocurrency;DeFi;Decentralization","Obere Strasse 33","Katholische Pfarreizentrum Davos","2026-01-19 10:00","2026-01-23 17:00","",300,"Blockchain & Web3",46.79823,9.83298,"Obere Strasse 33, Davos Platz, 7270, Switzerland","https://web3hubdavos.com/"
WEF2026-004,"WEF Open Forum","Open to the public forum for dialogue on global issues. Held at the auditorium of the Swiss Alpine School.","Global Issues;Public Dialogue;Democracy;Civic Engagement;Open Forum","Guggerbachstrasse 3","Swiss Alpine School","2026-01-19 09:00","2026-01-23 18:00","",600,"Economy & Society",46.79712,9.83185,"Guggerbachstrasse 3, Davos-Klosters, 7270, Switzerland","https://www.weforum.org/open-forum/"
WEF2026-005,"The Swedish Lunch","Private invitation-only gathering bringing together Nordic leaders and global influencers for intimate discussions during WEF.","Nordic Cooperation;Leadership;Private Networking;Global Influence","Promenade 63","Schatzalp Hotel","2026-01-21 12:00","2026-01-21 15:00","",100,"Exclusive Events",46.79882,9.82088,"Promenade 63 Schatzalp Bahn, Davos, 7270, Switzerland","https://www.swedishlunch.com/"
WEF2026-006,"Davos Innovation Week","A week of innovation showcasing cutting-edge technologies and startup ecosystems from around the world.","Innovation;Startups;Technology;Entrepreneurship;Venture Capital","Oberwiesstrasse 3","Davos Innovation Center","2026-01-19 09:00","2026-01-23 18:00","",350,"Innovation & Startups",46.79645,9.83112,"Oberwiesstrasse 3, Davos, 7270, Switzerland","https://www.davosinnovationweek.com/apply-here"
WEF2026-007,"GLOBALS On Tour: Davos 2026","90-minute walking tour exploring Davos during WEF. Secret meeting point revealed upon confirmation.","Networking;Walking Tour;Global Community;Exploration","Davos","Secret Location","2026-01-20 14:00","2026-01-20 15:30","",30,"Networking",46.79969,9.83417,"Secret Location, Davos, Switzerland","https://clubglobals.com/events-directory/globals-on-tour-davos-2/"
WEF2026-008,"Trust and Convergence Summit","Hosted by WISeKey, WISeSat.Space and SEALSQ exploring trust in digital systems, cybersecurity, and space technology convergence.","Cybersecurity;Trust;Space Technology;Digital Identity;Blockchain","Promenade 50","Morosani Schweizerhof","2026-01-21 09:00","2026-01-21 17:00","",200,"Technology & Security",46.79955,9.83465,"Promenade 50, Davos, 7270, Switzerland","https://www.wisekey.com/davos26/"
WEF2026-009,"Longevity Investors Lunch","Exclusive gathering for investors focused on longevity science, healthspan extension, and age-tech opportunities.","Longevity;Investment;Healthspan;Aging;Biotech","Promenade 159","Precise Tale Seehof Davos","2026-01-22 12:00","2026-01-22 15:00","",80,"Health & Longevity",46.81423,9.85012,"Promenade 159, Davos, 7260, Switzerland","https://www.longevityinvestors.ch/davos-2026"
WEF2026-010,"EMTECH INVEST 2026","Emerging technology investment summit exploring AI, biotech, cleantech, and frontier technologies.","Emerging Technology;Investment;AI;Biotech;Cleantech","Promenade 89","Grand Hotel Belvédère","2026-01-20 08:00","2026-01-22 18:00","",300,"Finance & Technology",46.80934,9.83755,"Promenade 89, Davos, 7270, Switzerland","https://2026.emtechinvest.com/"
